order_date,category,faction,channel,unit_price,units_sold,review_score,return_rate
2025-05-05,테레인,스페이스 마린,오픈마켓,17170,6,4.6,1.9
2025-12-03,미니어처,카오스,공식 온라인몰,40077,16,4.5,0.4
2025-11-15,룰북&코덱스,타이라니드,공식 온라인몰,46593,8,4.3,0.0
2025-09-05,테레인,네크론,오픈마켓,61301,6,3.5,2.1
2025-11-28,악세서리,네크론,오픈마켓,5765,17,4.3,5.0
2025-06-14,악세서리,카오스,공식 온라인몰,18174,25,4.9,1.1
2025-12-10,악세서리,타이라니드,공식 온라인몰,21445,23,4.2,3.5
2025-04-15,악세서리,카오스,해외 직구,8596,27,4.3,4.5
2025-04-07,룰북&코덱스,아엘다리,공식 온라인몰,29999,12,3.9,6.2
2025-11-14,미니어처,네크론,해외 직구,92840,19,4.2,9.6
2025-10-09,미니어처,네크론,해외 직구,49694,15,3.9,3.4
2025-12-05,악세서리,네크론,공식 온라인몰,15974,16,4.2,8.0
2025-02-06,도료&도구,네크론,해외 직구,24094,48,4.1,0.0
2025-12-09,도료&도구,아엘다리,오픈마켓,7871,32,4.7,6.1
2025-07-17,미니어처,타이라니드,오프라인 매장,36843,18,4.6,9.0
2025-12-18,미니어처,카오스,오픈마켓,19020,16,5.0,5.2
2025-11-28,룰북&코덱스,오크,오픈마켓,24609,5,4.7,1.3
2025-01-18,도료&도구,타이라니드,해외 직구,8476,39,2.9,4.5
2025-04-29,도료&도구,오크,오픈마켓,18182,42,4.1,6.0
2025-05-03,미니어처,카오스,오프라인 매장,118233,22,4.4,2.6
2025-02-15,미니어처,네크론,오프라인 매장,45643,18,4.8,3.5
2025-02-10,악세서리,아엘다리,해외 직구,21827,18,4.1,1.6
2025-12-30,미니어처,네크론,오프라인 매장,27831,14,5.0,4.6
2025-09-30,룰북&코덱스,타이라니드,오프라인 매장,57842,10,2.5,4.7
2025-09-19,테레인,타이라니드,해외 직구,67682,6,4.9,2.5
2025-06-08,도료&도구,카오스,오프라인 매장,12857,26,3.3,5.8
2025-12-24,룰북&코덱스,타이라니드,해외 직구,59127,8,4.4,5.7
2025-06-09,도료&도구,오크,오픈마켓,15298,41,4.5,3.9
2025-11-19,악세서리,네크론,오픈마켓,9018,22,3.8,1.3
2025-11-24,악세서리,아엘다리,오픈마켓,29420,22,4.6,
2025-09-24,미니어처,타이라니드,오픈마켓,25708,18,4.1,7.2
2025-08-27,미니어처,타이라니드,오픈마켓,63485,17,3.9,2.6
2025-01-30,악세서리,카오스,오프라인 매장,23159,29,4.5,4.6
2025-12-26,미니어처,카오스,공식 온라인몰,43708,19,3.4,2.4
2025-02-01,테레인,타이라니드,오픈마켓,78453,5,4.6,0.0
2025-04-02,미니어처,타이라니드,오프라인 매장,36942,22,4.1,1.9
2025-05-26,미니어처,카오스,오픈마켓,108609,19,3.9,
2025-06-26,도료&도구,카오스,오픈마켓,13806,37,3.9,2.7
2025-01-14,악세서리,스페이스 마린,오픈마켓,24136,27,4.3,3.4
2025-02-15,도료&도구,카오스,공식 온라인몰,17782,35,4.9,2.0
2025-06-20,테레인,타이라니드,오프라인 매장,53911,3,4.9,
2025-01-12,도료&도구,카오스,오프라인 매장,14296,38,4.4,6.3
2025-07-02,악세서리,스페이스 마린,오프라인 매장,21215,38,4.4,3.6
2025-01-11,미니어처,타이라니드,오프라인 매장,119879,13,3.4,4.6
2025-07-04,악세서리,타이라니드,오픈마켓,10925,19,5.0,
2025-06-29,도료&도구,아엘다리,공식 온라인몰,22859,43,,4.8
2025-11-12,미니어처,스페이스 마린,오픈마켓,42838,14,4.8,1.2
2025-10-30,악세서리,타이라니드,오픈마켓,10158,17,4.3,7.0
2025-06-03,미니어처,타이라니드,해외 직구,650000,22,2.7,10.1
2025-12-13,룰북&코덱스,카오스,오픈마켓,54629,11,5.0,1.1
2025-11-08,미니어처,오크,공식 온라인몰,60366,22,3.3,2.9
2025-08-31,미니어처,카오스,오프라인 매장,59077,20,4.3,4.8
2025-11-17,테레인,아엘다리,오픈마켓,59519,7,4.5,2.2
2025-06-05,룰북&코덱스,아엘다리,오프라인 매장,56170,9,,3.6
2025-03-08,미니어처,아엘다리,오픈마켓,71004,15,4.0,5.2
2025-09-07,테레인,타이라니드,공식 온라인몰,84701,8,4.7,2.6
2025-12-07,악세서리,카오스,오프라인 매장,24904,20,2.8,1.7
2025-01-25,미니어처,네크론,해외 직구,37138,16,4.9,3.2
2025-07-20,미니어처,스페이스 마린,오프라인 매장,67447,20,5.0,1.6
2025-12-13,도료&도구,오크,공식 온라인몰,11264,26,4.0,5.2
2025-03-10,악세서리,오크,오픈마켓,25797,23,4.6,4.4
2025-12-16,도료&도구,오크,공식 온라인몰,17058,45,4.3,1.3
2025-05-21,악세서리,타이라니드,오픈마켓,5106,19,3.6,4.2
2025-08-13,악세서리,아엘다리,오프라인 매장,28287,24,4.0,
2025-04-15,도료&도구,카오스,오픈마켓,6758,37,3.8,3.3
2025-08-20,테레인,스페이스 마린,오픈마켓,56554,6,3.9,0.0
2025-12-02,미니어처,오크,해외 직구,74628,20,4.9,0.0
2025-05-20,테레인,타이라니드,공식 온라인몰,53588,2,3.9,7.5
2025-02-23,악세서리,네크론,오픈마켓,11635,14,4.9,3.1
2025-05-05,악세서리,오크,공식 온라인몰,17021,22,4.5,6.0
2025-03-20,테레인,오크,해외 직구,59234,6,4.3,8.7
2025-09-07,룰북&코덱스,오크,공식 온라인몰,33001,13,3.9,6.4
2025-11-06,미니어처,스페이스 마린,해외 직구,92242,25,4.7,4.3
2025-01-09,룰북&코덱스,아엘다리,해외 직구,54194,4,3.0,7.7
2025-11-24,미니어처,카오스,해외 직구,29822,9,,3.5
2025-05-29,도료&도구,아엘다리,오픈마켓,7623,28,3.7,4.5
2025-07-31,룰북&코덱스,네크론,오프라인 매장,24038,9,3.5,1.7
2025-06-27,미니어처,오크,오픈마켓,67073,21,5.0,5.4
2025-03-02,미니어처,아엘다리,오픈마켓,58022,9,3.1,5.5
2025-11-25,미니어처,스페이스 마린,오프라인 매장,15969,17,3.8,5.3
2025-06-06,도료&도구,카오스,오픈마켓,9618,25,4.6,0.0
2025-11-19,도료&도구,아엘다리,오프라인 매장,21500,40,3.9,1.9
2025-04-27,도료&도구,네크론,공식 온라인몰,6444,39,4.2,5.9
2025-08-18,도료&도구,카오스,오프라인 매장,9457,45,3.7,1.0
2025-08-22,미니어처,네크론,공식 온라인몰,40638,22,4.5,0.3
2025-07-02,테레인,오크,공식 온라인몰,59189,4,4.0,3.5
2025-01-19,룰북&코덱스,아엘다리,오프라인 매장,30367,11,4.0,0.5
2025-11-26,악세서리,타이라니드,공식 온라인몰,14969,24,3.3,4.5
2025-05-09,미니어처,네크론,공식 온라인몰,104822,24,5.0,1.2
2025-02-09,미니어처,네크론,오픈마켓,53482,14,3.7,3.9
2025-01-30,룰북&코덱스,타이라니드,오픈마켓,34450,5,4.9,7.0
2025-07-09,미니어처,오크,오픈마켓,36256,16,3.1,6.1
2025-05-29,룰북&코덱스,오크,오픈마켓,38967,6,4.5,4.6
2025-04-18,미니어처,카오스,오픈마켓,113764,30,3.3,
2025-08-21,악세서리,스페이스 마린,오픈마켓,25887,23,,
2025-03-07,악세서리,타이라니드,해외 직구,16160,17,2.5,6.0
2025-11-18,악세서리,아엘다리,오픈마켓,18987,18,3.7,9.9
2025-02-18,미니어처,카오스,해외 직구,61676,23,,0.4
2025-07-06,테레인,오크,공식 온라인몰,18445,7,4.0,4.1
2025-11-09,미니어처,스페이스 마린,오픈마켓,15589,16,,0.0
2025-11-07,미니어처,아엘다리,공식 온라인몰,43389,18,5.0,8.2
2025-12-12,악세서리,오크,공식 온라인몰,22781,20,4.8,2.9
2025-08-24,도료&도구,네크론,오픈마켓,18092,38,4.5,2.3
2025-04-15,도료&도구,네크론,오픈마켓,24071,34,4.1,6.8
2025-12-25,미니어처,카오스,오픈마켓,57524,18,4.6,4.0
2025-10-02,미니어처,타이라니드,공식 온라인몰,94913,20,4.2,5.4
2025-02-25,테레인,네크론,오프라인 매장,89768,10,4.3,8.4
2025-11-06,도료&도구,카오스,오픈마켓,17515,28,4.0,5.0
2025-05-28,도료&도구,스페이스 마린,해외 직구,20987,50,3.4,2.8
2025-01-04,도료&도구,오크,공식 온라인몰,23891,27,4.3,6.7
2025-02-23,도료&도구,아엘다리,오프라인 매장,5658,34,4.9,5.8
2025-02-09,도료&도구,네크론,해외 직구,9711,25,4.1,3.7
2025-11-12,미니어처,타이라니드,공식 온라인몰,41381,19,3.1,0.0
2025-09-30,테레인,카오스,공식 온라인몰,79287,10,4.6,1.6
2025-04-10,미니어처,타이라니드,해외 직구,103111,14,3.9,2.9
2025-02-06,룰북&코덱스,아엘다리,공식 온라인몰,32512,9,5.0,7.5
2025-12-12,악세서리,타이라니드,오프라인 매장,29673,24,3.8,5.3
2025-09-21,미니어처,오크,오픈마켓,45807,21,4.3,0.0
2025-12-27,테레인,네크론,공식 온라인몰,35515,9,4.1,3.8
2025-12-22,미니어처,아엘다리,오픈마켓,36649,14,,4.1
2025-12-26,룰북&코덱스,네크론,오프라인 매장,22708,15,4.7,3.0
2025-07-20,미니어처,타이라니드,해외 직구,40215,20,4.7,5.8
2025-04-15,미니어처,스페이스 마린,오픈마켓,60352,5,3.7,4.9
2025-12-17,미니어처,스페이스 마린,오픈마켓,100194,17,4.6,4.4
2025-08-19,악세서리,타이라니드,오픈마켓,18199,20,3.9,0.0
2025-03-20,도료&도구,카오스,오픈마켓,15865,33,4.4,9.2
2025-11-08,미니어처,아엘다리,공식 온라인몰,67063,18,5.0,3.9
2025-05-01,룰북&코덱스,카오스,오픈마켓,28117,6,3.9,0.4
2025-10-17,룰북&코덱스,타이라니드,오프라인 매장,23720,4,4.4,0.0
2025-03-31,악세서리,아엘다리,공식 온라인몰,19235,12,3.8,3.5
2025-01-23,테레인,아엘다리,오프라인 매장,15161,4,4.0,2.6
2025-06-06,미니어처,아엘다리,오픈마켓,88044,17,4.6,55.5
2025-01-17,미니어처,타이라니드,오픈마켓,32606,22,3.9,2.5
2025-01-28,룰북&코덱스,타이라니드,공식 온라인몰,58094,10,3.5,0.1
2025-03-08,테레인,스페이스 마린,오픈마켓,35762,3,4.6,3.9
2025-11-28,악세서리,오크,오프라인 매장,28869,22,4.6,4.9
2025-07-05,악세서리,아엘다리,공식 온라인몰,12125,11,4.3,6.7
2025-01-21,미니어처,타이라니드,오픈마켓,20183,21,4.3,3.4
2025-11-05,테레인,카오스,공식 온라인몰,81733,9,,5.0
2025-11-27,테레인,네크론,오프라인 매장,71680,5,4.5,6.0
2025-10-21,미니어처,카오스,오픈마켓,119946,17,4.4,3.6
2025-12-20,테레인,오크,공식 온라인몰,31264,4,4.2,1.9
2025-09-26,테레인,오크,오픈마켓,77949,3,4.4,3.8
2025-06-28,테레인,타이라니드,공식 온라인몰,60020,8,4.9,4.4
2025-04-19,악세서리,아엘다리,공식 온라인몰,24233,20,4.3,4.1
2025-11-08,도료&도구,타이라니드,공식 온라인몰,18683,41,3.8,6.1
2025-07-19,도료&도구,카오스,오픈마켓,17078,32,3.9,2.3
2025-01-10,테레인,스페이스 마린,오픈마켓,76807,9,2.9,5.0
2025-05-31,미니어처,오크,오프라인 매장,60184,21,5.0,2.0
2025-06-17,테레인,오크,해외 직구,72777,3,4.6,3.0
2025-08-22,도료&도구,오크,공식 온라인몰,14403,26,4.9,42.0
2025-03-19,룰북&코덱스,스페이스 마린,오프라인 매장,55332,9,,7.8
2025-07-26,미니어처,아엘다리,오프라인 매장,19255,21,4.2,4.3
2025-02-08,미니어처,아엘다리,공식 온라인몰,580000,17,4.7,6.6
2025-08-15,도료&도구,아엘다리,오픈마켓,21750,47,4.1,4.1
2025-07-05,미니어처,네크론,해외 직구,109516,21,4.3,0.0
2025-01-11,미니어처,아엘다리,오프라인 매장,85122,13,4.6,3.5
2025-06-07,도료&도구,타이라니드,오픈마켓,10310,39,4.9,3.7
2025-10-01,미니어처,타이라니드,공식 온라인몰,41444,23,,2.6
2025-08-03,미니어처,네크론,해외 직구,117758,12,3.0,2.3
2025-04-02,악세서리,아엘다리,오픈마켓,25275,20,5.0,1.2
2025-01-31,도료&도구,아엘다리,오프라인 매장,14269,39,3.0,
2025-02-08,미니어처,스페이스 마린,공식 온라인몰,17462,14,3.9,1.2
2025-03-25,악세서리,카오스,오픈마켓,12182,20,4.6,5.9
2025-03-04,도료&도구,네크론,공식 온라인몰,22016,31,3.5,4.4
2025-11-28,도료&도구,스페이스 마린,오픈마켓,11581,34,4.6,5.9
2025-05-29,악세서리,아엘다리,해외 직구,9879,16,3.9,7.7
2025-04-27,도료&도구,아엘다리,공식 온라인몰,11583,40,4.0,4.2
2025-11-30,악세서리,아엘다리,해외 직구,24736,20,3.9,2.6
2025-02-01,룰북&코덱스,카오스,오픈마켓,46610,12,5.0,6.1
2025-01-27,룰북&코덱스,스페이스 마린,오프라인 매장,35001,4,4.0,5.0
2025-06-12,미니어처,카오스,공식 온라인몰,49923,20,2.6,3.5
2025-05-25,도료&도구,오크,오픈마켓,17543,28,4.5,7.2
2025-09-10,테레인,네크론,해외 직구,76876,4,3.4,
2025-07-23,룰북&코덱스,네크론,오픈마켓,34392,14,5.0,6.4
2025-12-04,악세서리,카오스,해외 직구,11677,24,4.9,1.0
2025-09-04,미니어처,오크,공식 온라인몰,87413,15,4.6,0.7
2025-08-31,미니어처,네크론,오픈마켓,38990,19,4.2,2.4
2025-10-22,도료&도구,타이라니드,해외 직구,8997,32,3.4,8.6
2025-10-05,악세서리,네크론,오픈마켓,14918,23,4.7,5.3
2025-07-15,미니어처,네크론,오프라인 매장,20779,17,4.7,
2025-10-05,미니어처,오크,공식 온라인몰,64260,12,,0.0
2025-05-06,룰북&코덱스,오크,오프라인 매장,59048,9,2.9,2.9
2025-11-03,악세서리,아엘다리,오픈마켓,7138,15,4.1,2.6
2025-01-14,테레인,아엘다리,해외 직구,46873,8,,2.4
2025-12-13,도료&도구,스페이스 마린,오픈마켓,22860,40,4.0,0.1
2025-08-08,미니어처,스페이스 마린,해외 직구,45062,19,4.0,3.2
2025-01-14,도료&도구,네크론,오픈마켓,22134,34,4.3,3.4
2025-05-23,미니어처,타이라니드,공식 온라인몰,24148,14,4.9,1.4
2025-08-11,악세서리,오크,오픈마켓,5965,17,4.8,5.3
2025-06-13,테레인,오크,해외 직구,16740,1,4.2,5.5
2025-11-12,테레인,스페이스 마린,해외 직구,42009,5,4.4,4.6
2025-05-16,도료&도구,스페이스 마린,오픈마켓,17772,22,4.3,5.0
2025-04-16,테레인,오크,오픈마켓,33999,10,4.8,7.2
2025-12-15,테레인,타이라니드,공식 온라인몰,44714,5,3.5,0.0
2025-03-06,미니어처,네크론,오픈마켓,61064,23,,1.8
2025-11-30,도료&도구,아엘다리,해외 직구,24773,37,4.7,3.4
2025-09-05,룰북&코덱스,스페이스 마린,오프라인 매장,59881,6,3.1,3.6
2025-04-10,테레인,오크,오픈마켓,17662,7,3.7,5.6
2025-08-03,룰북&코덱스,오크,오픈마켓,54928,9,4.4,8.4
2025-06-20,도료&도구,타이라니드,오픈마켓,17680,38,4.2,0.5
2025-11-13,룰북&코덱스,아엘다리,공식 온라인몰,51483,5,4.3,1.5
2025-09-10,미니어처,네크론,해외 직구,110363,16,4.0,5.8
2025-10-04,도료&도구,카오스,오픈마켓,21398,30,4.4,7.6
2025-03-02,악세서리,타이라니드,오프라인 매장,19696,23,,1.8
2025-03-26,미니어처,네크론,오픈마켓,79254,16,4.4,4.0
2025-01-16,룰북&코덱스,오크,공식 온라인몰,46338,10,4.4,5.2
2025-01-18,도료&도구,네크론,오픈마켓,19715,27,4.0,6.0
2025-03-11,악세서리,오크,오프라인 매장,15681,14,5.0,4.8
2025-01-04,미니어처,카오스,오픈마켓,43044,19,3.7,7.2
2025-03-16,미니어처,아엘다리,오프라인 매장,65011,13,3.8,6.6
2025-09-08,악세서리,스페이스 마린,오픈마켓,6022,17,3.5,4.1
2025-09-24,룰북&코덱스,카오스,오픈마켓,52791,5,3.7,6.0
2025-01-26,악세서리,네크론,오프라인 매장,28846,11,4.3,3.6
2025-12-11,테레인,카오스,오픈마켓,52487,9,3.6,
