code,date,open,high,low,close,volume,change,changeRate
G0001,2024-01-22,24651,25015,23933,24925,1150309,478,1.96
G0001,2024-01-23,24833,25368,23945,24573,1147395,-352,-1.41
G0001,2024-01-24,24759,25027,24654,24808,717795,235,0.96
G0001,2024-01-25,24806,25077,24609,24646,696990,-162,-0.65
G0001,2024-01-26,24597,24959,24017,24701,1100310,55,0.22
G0001,2024-01-29,25134,25332,24955,25209,533314,508,2.06
G0001,2024-01-30,25137,25235,24530,25199,1178251,-10,-0.04
G0001,2024-01-31,24930,25092,24475,24625,994117,-574,-2.28
G0001,2024-02-01,24596,24789,23641,24144,2092533,-481,-1.95
G0001,2024-02-02,23916,24231,23347,23614,975061,-530,-2.2
G0001,2024-02-05,23522,23546,23020,23441,1289475,-173,-0.73
G0001,2024-02-06,23040,23620,22212,22493,1227177,-948,-4.04
G0001,2024-02-07,22118,22669,21378,21846,1381738,-647,-2.88
G0001,2024-02-08,21729,22111,21070,21386,717159,-460,-2.11
G0001,2024-02-09,21449,21976,21215,21373,1072570,-13,-0.06
G0001,2024-02-12,21518,22424,20959,21902,1440983,529,2.48
G0001,2024-02-13,21835,22347,21026,21653,773788,-249,-1.14
G0001,2024-02-14,21097,21525,18152,18213,1869883,-3440,-15.89
G0001,2024-02-15,18197,18501,17865,18220,944796,7,0.04
G0001,2024-02-16,18183,18717,17565,18076,881936,-144,-0.79
G0001,2024-02-19,17807,18223,17628,17821,1465981,-255,-1.41
G0001,2024-02-20,17745,17906,17087,17308,864965,-513,-2.88
G0001,2024-02-21,17448,17762,16988,17681,1062196,373,2.16
G0001,2024-02-22,17761,18403,17270,17888,582587,207,1.17
G0001,2024-02-23,17773,18205,16583,17036,1767727,-852,-4.76
G0001,2024-02-26,16990,17024,16457,16964,730695,-72,-0.42
G0001,2024-02-27,16858,17232,15741,16112,1189415,-852,-5.02
G0001,2024-02-28,15872,15969,15432,15628,1041009,-484,-3
G0001,2024-02-29,15646,15970,15405,15821,627521,193,1.23
G0001,2024-03-01,15825,16198,15353,16165,1291796,344,2.17
G0001,2024-03-04,16172,16520,15781,16041,1464595,-124,-0.77
G0001,2024-03-05,16071,16156,15762,15878,655360,-163,-1.02
G0001,2024-03-06,15905,16302,15444,15900,868574,22,0.14
G0001,2024-03-07,15680,16118,15295,15456,1223535,-444,-2.79
G0001,2024-03-08,15395,15589,15379,15469,712640,13,0.08
G0001,2024-03-11,15324,15690,14733,15185,1033666,-284,-1.84
G0001,2024-03-12,15001,15115,14827,14883,2211731,-302,-1.99
G0001,2024-03-13,14936,15531,14670,15379,1977426,496,3.33
G0001,2024-03-14,15367,15419,15156,15263,1523270,-116,-0.75
G0001,2024-03-15,15475,16089,15303,15840,1414734,577,3.78
G0001,2024-03-18,15915,16165,15470,16004,1398580,164,1.04
G0001,2024-03-19,16006,16478,15642,16098,1273785,94,0.59
G0001,2024-03-20,16102,16497,15898,16434,828964,336,2.09
G0001,2024-03-21,16219,16270,15875,15925,1427828,-509,-3.1
G0001,2024-03-22,15822,15882,15617,15762,797224,-163,-1.02
G0001,2024-03-25,15710,15886,15569,15627,1255421,-135,-0.86
G0001,2024-03-26,15649,15976,15487,15659,1634112,32,0.2
G0001,2024-03-27,15676,16183,15524,15996,2715592,337,2.15
G0001,2024-03-28,15987,16357,15844,16000,926442,4,0.03
G0001,2024-03-29,15941,16405,15273,15647,1434430,-353,-2.21
G0001,2024-04-01,15608,15830,15244,15829,1280003,182,1.16
G0001,2024-04-02,15828,15907,15581,15761,22516247,-68,-0.43
G0001,2024-04-03,16082,16435,15788,16391,1135901,630,4
G0001,2024-04-04,16332,16774,15927,16293,1318011,-98,-0.6
G0001,2024-04-05,16157,16437,15667,16059,1092063,-234,-1.44
G0001,2024-04-08,15997,16139,15561,15860,1742178,-199,-1.24
G0001,2024-04-09,16041,16741,15740,16347,1030693,487,3.07
G0001,2024-04-10,16353,16356,15490,15929,664853,-418,-2.56
G0001,2024-04-11,15881,16370,15449,15983,951828,54,0.34
G0001,2024-04-12,15842,16004,15581,15611,760438,-372,-2.33
G0001,2024-04-15,15561,15595,15053,15482,838864,-129,-0.83
G0001,2024-04-16,15383,15384,15108,15145,852034,-337,-2.18
G0001,2024-04-17,14983,15268,14525,14851,1060476,-294,-1.94
G0001,2024-04-18,14880,15068,14542,15048,875474,197,1.33
G0001,2024-04-19,15032,15671,14672,15435,1114092,387,2.57
G0001,2024-04-22,15359,15786,14992,15329,615157,-106,-0.69
G0001,2024-04-23,15406,15749,15011,15345,1285976,16,0.1
G0001,2024-04-24,15501,16098,15310,16068,21868541,723,4.71
G0001,2024-04-25,16080,16138,15849,16118,932598,50,0.31
G0001,2024-04-26,16064,16304,15845,16076,517544,-42,-0.26
G0001,2024-04-29,16109,16579,15661,16219,675987,143,0.89
G0001,2024-04-30,16447,16707,16229,16551,2218160,332,2.05
G0001,2024-05-01,16564,16873,16314,16547,763648,-4,-0.02
G0001,2024-05-02,16434,16730,16211,16281,1983222,-266,-1.61
G0001,2024-05-03,16327,16639,15855,16244,410106,-37,-0.23
G0001,2024-05-06,16298,16379,15919,16345,448866,101,0.62
G0001,2024-05-07,16392,16551,16173,16269,1030023,-76,-0.46
G0001,2024-05-08,16405,16910,16302,16566,661531,297,1.83
G0001,2024-05-09,16662,16985,16365,16521,574037,-45,-0.27
G0001,2024-05-10,16581,17209,16346,16721,704960,200,1.21
G0001,2024-05-13,16739,17446,16348,17029,863933,308,1.84
G0001,2024-05-14,17367,18008,17114,17702,1169653,673,3.95
G0001,2024-05-15,16994,17439,15699,15932,1930151,-1770,-10
G0001,2024-05-16,16140,16561,15658,16343,1130053,411,2.58
G0001,2024-05-17,16127,16415,15580,15960,1184451,-383,-2.34
G0001,2024-05-20,15916,16103,15827,15850,480782,-110,-0.69
G0001,2024-05-21,15770,15979,15432,15829,1122949,-21,-0.13
G0001,2024-05-22,15579,15955,14466,14831,2522724,-998,-6.3
G0001,2024-05-23,14833,14986,14650,14742,670774,-89,-0.6
G0001,2024-05-24,14765,15048,14530,14592,1452913,-150,-1.02
G0001,2024-05-27,14583,14982,14180,14396,1094376,-196,-1.34
G0001,2024-05-28,14436,14836,14239,14345,1011018,-51,-0.35
G0001,2024-05-29,14504,15015,14495,14710,1390592,365,2.54
G0001,2024-05-30,14775,15139,14547,14967,1044284,257,1.75
G0001,2024-05-31,15050,15555,15001,15281,1365520,314,2.1
G0001,2024-06-03,15309,15886,15084,15424,1124829,143,0.94
G0001,2024-06-04,15281,15403,14598,14988,1033403,-436,-2.83
G0001,2024-06-05,14899,15236,14247,14626,839807,-362,-2.42
G0001,2024-06-06,14549,14877,14348,14641,615284,15,0.1
G0001,2024-06-07,14643,15117,14315,14813,671216,172,1.17
G0001,2024-06-10,14854,15090,14355,14508,2354322,-305,-2.06
G0001,2024-06-11,14668,14996,14471,14769,1249280,261,1.8
G0001,2024-06-12,14868,15377,14654,15129,654611,360,2.44
G0001,2024-06-13,15205,15689,14884,15305,1212058,176,1.16
G0001,2024-06-14,15322,15710,15304,15360,17408205,55,0.36
G0001,2024-06-17,15450,15660,15428,15568,1129208,208,1.35
G0001,2024-06-18,15463,15709,14952,15270,1315861,-298,-1.91
G0001,2024-06-19,15086,15434,14435,14734,1298674,-536,-3.51
G0001,2024-06-20,14705,14934,14098,14502,1598357,-232,-1.57
G0001,2024-06-21,14534,14852,14073,14425,1424608,-77,-0.53
G0001,2024-06-24,14434,14527,14334,14496,1678496,71,0.49
G0001,2024-06-25,14663,15222,14251,15010,767060,514,3.55
G0001,2024-06-26,14896,15197,14530,14633,896229,-377,-2.51
G0001,2024-06-27,14712,14952,14707,14824,804031,191,1.31
G0001,2024-06-28,14865,15142,14593,14765,1285406,-59,-0.4
G0001,2024-07-01,14959,15448,14932,15152,737152,387,2.62
G0001,2024-07-02,15060,15361,14753,14869,1382374,-283,-1.87
G0001,2024-07-03,14930,15798,14588,15462,779762,593,3.99
G0001,2024-07-04,15636,16233,15200,15842,1716322,380,2.46
G0001,2024-07-05,15622,15696,15323,15417,799325,-425,-2.68
G0001,2024-07-08,15395,16002,14967,15681,773390,264,1.71
G0001,2024-07-09,15683,16090,15393,15810,1015613,129,0.82
G0001,2024-07-10,15810,16707,15351,16255,960733,445,2.81
G0001,2024-07-11,16247,16684,15766,16180,1016473,-75,-0.46
G0001,2024-07-12,16232,16469,15966,16415,824422,235,1.45
G0001,2024-07-15,16360,16746,16211,16299,772538,-116,-0.71
G0001,2024-07-16,16157,16195,15620,15951,2050746,-348,-2.14
G0001,2024-07-17,15989,15997,15751,15958,679552,7,0.04
G0001,2024-07-18,15806,16038,15083,15437,800937,-521,-3.26
G0001,2024-07-19,15516,15889,15217,15666,1256857,229,1.48
G0001,2024-07-22,15806,16094,15680,15855,1016395,189,1.21
G0001,2024-07-23,16052,16468,15932,16157,786928,302,1.9
G0001,2024-07-24,16180,16769,16150,16409,1328405,252,1.56
G0001,2024-07-25,16197,16218,15933,15991,638906,-418,-2.55
G0001,2024-07-26,16024,16903,15634,16432,1364630,441,2.76
G0001,2024-07-29,16591,16731,16357,16539,397143,107,0.65
G0001,2024-07-30,16190,16558,15682,15784,1494566,-755,-4.56
G0001,2024-07-31,15770,16375,15687,16037,855463,253,1.6
G0001,2024-08-01,16024,16227,15808,15926,1501732,-111,-0.69
G0001,2024-08-02,16000,16397,15940,16294,1350044,368,2.31
G0001,2024-08-05,16193,16433,15419,15842,943231,-452,-2.77
G0001,2024-08-06,15854,16095,15272,15475,2176101,-367,-2.32
G0001,2024-08-07,15358,15620,14759,14935,670178,-540,-3.49
G0001,2024-08-08,14983,15032,14795,15004,438915,69,0.46
G0001,2024-08-09,14597,14731,13539,13792,2119468,-1212,-8.08
G0001,2024-08-12,13713,13820,12769,13127,1476866,-665,-4.82
G0001,2024-08-13,13039,13043,12530,12802,1438154,-325,-2.48
G0001,2024-08-14,13443,14896,13073,14801,956518,1999,15.61
G0001,2024-08-15,14771,14787,14547,14596,641794,-205,-1.39
G0001,2024-08-16,14621,14668,14402,14648,876940,52,0.36
G0001,2024-08-19,14497,14926,14045,14440,885118,-208,-1.42
G0001,2024-08-20,14557,14888,14512,14674,691859,234,1.62
G0001,2024-08-21,14717,15019,14441,14730,1001413,56,0.38
G0001,2024-08-22,14726,15126,14358,14733,1255491,3,0.02
G0001,2024-08-23,14863,15309,14557,14929,1290444,196,1.33
G0001,2024-08-26,14815,15211,14339,14639,769641,-290,-1.94
G0001,2024-08-27,14743,14950,14672,14802,859183,163,1.11
G0001,2024-08-28,14876,14961,14631,14837,1101233,35,0.24
G0001,2024-08-29,14640,14698,14113,14460,1142861,-377,-2.54
G0001,2024-08-30,14508,15312,14313,14878,1268948,418,2.89
G0001,2024-09-02,14703,14911,14368,14494,1912717,-384,-2.58
G0001,2024-09-03,14484,14634,13964,14369,617120,-125,-0.86
G0001,2024-09-04,14226,14237,13974,14032,661087,-337,-2.35
G0001,2024-09-05,13703,14010,13467,13501,2126158,-531,-3.78
G0001,2024-09-06,13564,13564,13401,13534,1376931,33,0.24
G0001,2024-09-09,13471,13841,13000,13297,1243460,-237,-1.75
G0001,2024-09-10,13337,13436,13025,13289,1577146,-8,-0.06
G0001,2024-09-11,13325,13746,13218,13393,697073,104,0.78
G0001,2024-09-12,13409,13884,13273,13492,851330,99,0.74
G0001,2024-09-13,13569,13929,13538,13658,1649325,166,1.23
G0001,2024-09-16,13867,14433,13528,14058,1027052,400,2.93
G0001,2024-09-17,14094,14513,13837,14039,682816,-19,-0.14
G0001,2024-09-18,13918,14250,13660,13793,968397,-246,-1.75
G0001,2024-09-19,13561,13858,13470,13528,979383,-265,-1.92
G0001,2024-09-20,13535,13783,13364,13627,1111383,99,0.73
G0001,2024-09-23,13586,13925,13148,13429,1551642,-198,-1.45
G0001,2024-09-24,13437,13676,13232,13401,1266568,-28,-0.21
G0001,2024-09-25,13386,13518,12976,13342,957810,-59,-0.44
G0001,2024-09-26,13397,13819,13379,13501,876739,159,1.19
G0001,2024-09-27,13577,13816,13484,13588,1336144,87,0.64
G0001,2024-09-30,13525,13544,13325,13432,1598682,-156,-1.15
G0001,2024-10-01,13505,13830,13295,13709,1547393,277,2.06
G0001,2024-10-02,13759,13939,13457,13785,1078914,76,0.55
G0001,2024-10-03,13822,13985,13741,13857,990617,72,0.52
G0001,2024-10-04,13992,14408,13837,14228,1791284,371,2.68
G0001,2024-10-07,14247,14646,14187,14202,614231,-26,-0.18
G0001,2024-10-08,14162,14247,13663,14082,1586635,-120,-0.84
G0001,2024-10-09,14127,14366,13921,14268,1775132,186,1.32
G0001,2024-10-10,14156,14211,13393,13756,674720,-512,-3.59
G0001,2024-10-11,13952,14596,13875,14349,923473,593,4.31
G0001,2024-10-14,14519,15083,14249,14829,1300662,480,3.35
G0001,2024-10-15,14787,14902,14593,14799,1631640,-30,-0.2
G0001,2024-10-16,14799,15228,14434,14819,1734013,20,0.14
G0001,2024-10-17,14651,14779,14362,14507,696255,-312,-2.11
G0001,2024-10-18,14832,15559,14463,15237,1040822,730,5.03
G0001,2024-10-21,15433,15791,15022,15686,1557915,449,2.95
G0001,2024-10-22,15677,16181,15594,15824,736857,138,0.88
G0001,2024-10-23,15904,16270,15651,16054,838214,230,1.45
G0001,2024-10-24,16196,16573,16095,16372,1452404,318,1.98
G0001,2024-10-25,16314,16836,16107,16412,678840,40,0.24
G0001,2024-10-28,16425,16609,16249,16392,1002335,-20,-0.12
G0001,2024-10-29,16646,17180,16496,16748,1395892,356,2.17
G0001,2024-10-30,16768,16781,16154,16600,1598619,-148,-0.88
G0001,2024-10-31,16473,16547,15785,16072,2594050,-528,-3.18
G0001,2024-11-01,15992,16154,15517,15849,767365,-223,-1.39
G0001,2024-11-04,15748,15880,15469,15618,2593456,-231,-1.46
G0001,2024-11-05,15597,15889,15286,15657,994909,39,0.25
G0001,2024-11-06,15671,15696,15252,15642,816659,-15,-0.1
G0001,2024-11-07,15683,16474,15318,16105,1245663,463,2.96
G0001,2024-11-08,16023,16115,15923,16063,604821,-42,-0.26
G0001,2024-11-11,16121,16564,15650,16294,1025650,231,1.44
G0001,2024-11-12,16413,16651,15957,16345,800615,51,0.31
G0001,2024-11-13,16498,16898,16471,16502,1018310,157,0.96
G0001,2024-11-14,15671,15795,14426,14486,2306557,-2016,-12.22
G0001,2024-11-15,14285,14347,13749,13997,1180373,-489,-3.38
G0001,2024-11-18,13892,14179,13522,13897,901224,-100,-0.71
G0001,2024-11-19,13827,14229,13442,13740,1096144,-157,-1.13
G0001,2024-11-20,13793,14245,13452,13882,985047,142,1.03
G0001,2024-11-21,13700,13719,13212,13501,887419,-381,-2.74
G0001,2024-11-22,13522,13721,13160,13676,595536,175,1.3
G0001,2024-11-25,13755,14056,13352,14043,1719687,367,2.68
G0001,2024-11-26,13910,13986,13432,13759,1001784,-284,-2.02
G0001,2024-11-27,13403,13691,12985,13042,780048,-717,-5.21
G0001,2024-11-28,12900,13145,12319,12658,824957,-384,-2.94
G0001,2024-11-29,12666,12992,12433,12831,923884,173,1.37
G0001,2024-12-02,12858,13485,12741,13296,748762,465,3.62
G0001,2024-12-03,13349,13743,13299,13336,810973,40,0.3
G0001,2024-12-04,13416,13808,13203,13545,1086559,209,1.57
G0001,2024-12-05,13545,13604,13332,13536,1217254,-9,-0.07
G0001,2024-12-06,13461,13622,13163,13339,1647381,-197,-1.46
G0001,2024-12-09,13423,13590,13292,13442,668705,103,0.77
G0001,2024-12-10,13668,14099,13361,13981,1627210,539,4.01
G0001,2024-12-11,14118,14370,14080,14136,806545,155,1.11
G0001,2024-12-12,14106,14303,13619,13934,1097714,-202,-1.43
G0001,2024-12-13,13776,14157,13442,13688,1184675,-246,-1.77
G0001,2024-12-16,13442,13660,12893,13218,894026,-470,-3.43
G0001,2024-12-17,13302,14072,13124,13768,1681344,550,4.16
G0001,2024-12-18,13883,14112,13545,13804,810996,36,0.26
G0001,2024-12-19,13771,14078,13292,13669,533345,-135,-0.98
G0001,2024-12-20,13826,14134,13787,13993,748011,324,2.37
G0001,2024-12-23,14032,14208,13765,14137,951107,144,1.03
G0001,2024-12-24,13951,14293,13537,13714,1329737,-423,-2.99
G0001,2024-12-25,13558,13649,12997,13226,897873,-488,-3.56
G0001,2024-12-26,13298,13887,13081,13484,940597,258,1.95
G0001,2024-12-27,13403,13540,13207,13225,1428562,-259,-1.92
G0001,2024-12-30,13185,13318,13072,13151,1576528,-74,-0.56
G0001,2024-12-31,13172,13397,12866,13074,2070229,-77,-0.59
G0001,2025-01-01,13191,13684,12923,13336,570665,262,2
G0001,2025-01-02,13293,13688,12738,13057,673349,-279,-2.09
G0001,2025-01-03,13062,13114,12858,12930,995261,-127,-0.97
G0001,2025-01-06,12796,12934,12682,12795,1097679,-135,-1.04
G0001,2025-01-07,12677,13045,12302,12481,954505,-314,-2.45
G0001,2025-01-08,12508,12824,12175,12424,384380,-57,-0.46
G0001,2025-01-09,12505,12924,12297,12603,924438,179,1.44
G0001,2025-01-10,12634,12912,12598,12664,1192277,61,0.48
G0001,2025-01-13,12678,12770,12305,12667,969734,3,0.02
G0001,2025-01-14,12835,12917,12674,12872,1098091,205,1.62
G0001,2025-01-15,12800,13060,12480,12758,1022068,-114,-0.89
G0001,2025-01-16,12749,13289,12486,12911,1311840,153,1.2
G0001,2025-01-17,13033,13285,13002,13132,1286570,221,1.71
G0001,2025-01-20,13051,13079,12692,12934,866231,-198,-1.51
G0001,2025-01-21,12945,13353,12737,13083,1591453,149,1.15
G0001,2025-01-22,13286,13769,12933,13515,1655416,432,3.3
G0001,2025-01-23,13639,13828,13464,13687,669983,172,1.27
G0001,2025-01-24,13515,13790,13304,13349,1133707,-338,-2.47
G0001,2025-01-27,13309,13602,12967,13141,911209,-208,-1.56
G0001,2025-01-28,13248,13795,12854,13459,1057120,318,2.42
G0001,2025-01-29,13567,13961,13186,13909,1026172,450,3.34
G0001,2025-01-30,13947,14279,13478,13767,870740,-142,-1.02
G0001,2025-01-31,13755,14013,13578,13744,831784,-23,-0.17
G0001,2025-02-03,13718,14016,13610,13966,1286574,222,1.62
G0001,2025-02-04,13985,14544,13871,14235,1087873,269,1.93
G0001,2025-02-05,14231,14373,13809,14216,854072,-19,-0.13
G0001,2025-02-06,14222,14258,14079,14168,809242,-48,-0.34
G0001,2025-02-07,14231,14536,14128,14259,1214258,91,0.64
G0001,2025-02-10,14290,14647,14094,14226,577946,-33,-0.23
G0001,2025-02-11,14245,14509,14022,14469,1034255,243,1.71
G0001,2025-02-12,14487,14517,14082,14503,523499,34,0.23
G0001,2025-02-13,14776,15155,14470,14936,877566,433,2.99
G0001,2025-02-14,15855,17474,15433,17038,1967223,2102,14.07
G0001,2025-02-17,17044,17455,17003,17031,811020,-7,-0.04
G0001,2025-02-18,17122,17507,17068,17201,525632,170,1
G0001,2025-02-19,17249,17874,16757,17813,1078480,612,3.56
G0001,2025-02-20,17793,18384,17790,17981,507001,168,0.94
G0001,2025-02-21,18185,18655,18176,18504,1160500,523,2.91
G0001,2025-02-24,18733,19298,18425,18868,539784,364,1.97
G0001,2025-02-25,18994,19857,18448,19441,1120661,573,3.04
G0001,2025-02-26,19154,19509,18224,18734,1011967,-707,-3.64
G0001,2025-02-27,18819,19338,18557,18962,2120908,228,1.22
G0001,2025-02-28,18866,19096,18678,18752,920375,-210,-1.11
G0001,2025-03-03,18951,19641,18730,19192,1583224,440,2.35
G0001,2025-03-04,19235,19404,18759,19168,1617597,-24,-0.13
G0001,2025-03-05,19187,19395,19137,19162,590470,-6,-0.03
G0001,2025-03-06,18923,19287,18172,18422,2110801,-740,-3.86
G0001,2025-03-07,18517,18830,17967,18396,1340689,-26,-0.14
G0001,2025-03-10,18293,18494,17804,18308,622127,-88,-0.48
G0001,2025-03-11,18028,18182,17557,17588,754000,-720,-3.93
G0001,2025-03-12,17525,17610,17025,17106,872018,-482,-2.74
G0001,2025-03-13,17041,17344,16302,16772,1555579,-334,-1.95
G0001,2025-03-14,16859,17462,16844,17084,1257041,312,1.86
G0001,2025-03-17,17084,17162,16938,17067,1860296,-17,-0.1
G0001,2025-03-18,16993,17217,16459,16506,1264363,-561,-3.29
G0001,2025-03-19,16664,16956,16622,16810,1865435,304,1.84
G0001,2025-03-20,16599,16792,16418,16488,1815585,-322,-1.92
G0001,2025-03-21,16650,16965,16366,16691,1018470,203,1.23
G0001,2025-03-24,16634,17021,16165,16566,1019881,-125,-0.75
G0001,2025-03-25,16601,16883,16128,16602,872081,36,0.22
G0001,2025-03-26,16705,16976,16689,16774,1745811,172,1.04
G0001,2025-03-27,16747,17069,16368,16644,2121034,-130,-0.78
G0001,2025-03-28,16580,17024,16016,16353,2376685,-291,-1.75
G0001,2025-03-31,16333,16647,15393,15856,992441,-497,-3.04
G0001,2025-04-01,15946,16104,15776,15837,1014988,-19,-0.12
G0001,2025-04-02,15765,16116,15585,15733,756968,-104,-0.66
G0001,2025-04-03,15713,16627,15298,16156,1045363,423,2.69
G0001,2025-04-04,16005,16223,15553,15867,1107755,-289,-1.79
G0001,2025-04-07,15924,16357,15831,16220,960478,353,2.22
G0001,2025-04-08,16243,16945,16179,16720,944392,500,3.08
G0001,2025-04-09,16724,17212,16079,16544,1882295,-176,-1.05
G0001,2025-04-10,16716,17061,16413,16844,937354,300,1.81
G0001,2025-04-11,16939,17272,16601,17042,806617,198,1.18
G0001,2025-04-14,17214,17682,17144,17146,1281392,104,0.61
G0001,2025-04-15,17136,17415,16659,16976,1730173,-170,-0.99
G0001,2025-04-16,16676,17049,16430,16510,2241852,-466,-2.75
G0001,2025-04-17,16480,16808,16339,16609,1197779,99,0.6
G0001,2025-04-18,16524,16993,16133,16364,841961,-245,-1.48
G0001,2025-04-21,16399,17251,16234,16752,1123359,388,2.37
G0001,2025-04-22,16863,17150,16517,17058,1502624,306,1.83
G0001,2025-04-23,17014,17199,16841,17065,1134283,7,0.04
G0001,2025-04-24,17180,17688,16987,17237,1299041,172,1.01
G0001,2025-04-25,17260,17899,16895,17453,1221006,216,1.25
