code,name,sectorCode,market,listedDate,ceo,address,employeeCount,listedShares,marketCap,price,changeRate
G0023,청람데이터,S08,GX-GROWTH,2019-11-17,동방아늘,가온국 명주시 한터구 수피아길 7,15597,14147000,1618218742000,114386,3.58
G0024, 너울반도체 ,S02,GX-GROWTH,2023-02-16,탁온별,가온국 들녘시 두레구 가온대로 272,18351,55293000,226314249000,4093,3.7
G0025,신흥조선,S04,GX-MAIN,1993-03-08,선우단온,가온국 청람광역시 라온구 길벗로 170,8603,43114000,576175496000,13364,
G0026,자강가스,S09,GX-MAIN,1991-04-08,동방슬람,가온국 가온특별시 샛별구 길벗로 50,51568,79643000,1053676890000,13230,2.82
G0027,슬기소재,S03,GX-MAIN,19950621,제갈유샘,가온국 청람광역시 한터구 청람로 133,39033,24595000,1411039745000,57371,2.11
G0028,미소제약,S07,GX-GROWTH,2011-12-07,옥해율,가온국 들녘시 벼리구 한빛로 89,2972,2840000,12061480000,4247,2.04
G0029,새벽반도체,S02,GX-MAIN,2004-11-02,남궁주우,가온국 청람광역시 벼리구 보람로 161,65393,48121000,1658730870000,34470,1.64
G0030,명주금융지주,S01,GX-MAIN,2010.10.24,,가온국 해솔시 라온구 수피아길 20,20637,25601000,4662070105000,182105,1.67
G0031,신흥자산운용,S01,GX-GROWTH,2020-10-19,표세재,가온국 청람광역시 도담구 너울길 21,4626,5027000,50817943000,10109,1.4
G0032,벼리클라우드,,GX-GROWTH,2020-01-20,선우아슬,가온국 명주시 다솜구 청람로 69,-,14775000,448495125000,30355,0.38
G0033,슬기중공업,S04,GX-GROWTH,2019-12-07,서문윤람,가온국 들녘시 윤슬구 너울길 182,7253,13708000,171062132000,12479,0.11
G0034,신흥리테일,S05,GX-GROWTH,20100524,뇌건우,가온국 새벽시 두레구 아띠대로 280,,10850000,85845200000,7912,-1.69
G0035, 자강소프트 ,S08,gx-growth,20231114,빈태재,가온국 태산시 늘품구 한빛로 215,21264,14758000,329531382000,22329,0.67
G0036,아람케미칼,S03,GX-MAIN,2012-05-15,반루늘,가온국 청람광역시 윤슬구 가온대로 113,238665,225139000,10036921759000,44581,1.94
G0037,넥스트전력,S09,GX-MAIN,1992.12.11,반리한,가온국 온누리특별자치시 벼리구 초아로 55,293941,300989000,1592231810000,5290,3.93
G0038,한들메디컬,S07,GX-MAIN,1991-05-18,반루오,가온국 온누리특별자치시 한터구 해원로 48,25990,29201000,1039263590000,35590,-0.01
G0039,세림  반도체,S02,GX-MAIN,2004-10-18,남궁슬람,가온국 백두시 윤슬구 해원로 125,27899,45553000,627583681000,13777,2.64
G0040,한들금융지주,,GX-MAIN,2012-09-13,선우유람,가온국 청람광역시 벼리구 해원로 246,38699,37661000,299894543000,7963,-0.06
G0041,해솔화재해상,S01,GX-GROWTH,2020-02-07,봉유린,가온국 새벽시 윤슬구 수피아길 144,,5810000,61336170000,10557,
G0042,해원시스템즈,S08,GX-MAIN,1993-11-19,견벼겸,가온국 새벽시 샛별구 길벗로 230,26512,41175000,4581583425000,111271,2.57
G0043,누리카드,S01,GX-MAIN,1992-12-24,옥유람,가온국 태산시 샛별구 너울길 311,6698,18135000,205886655000,11353,-3.5
G0044,청우소재,S03,GX-MAIN,2013-03-12,서문보별,가온국 가온특별시 다솜구 길벗로 193,30590,42025000,1804049200000,42928,-0.56
G0045,명주디스플레이,S02,GX-MAIN,20060402,황보아우,가온국 명주시 다솜구 길벗로 9,25424,39760000,8673007840000,218134,1.93
G0046,넥스트데이터,S08,GX-GROWTH,2022-12-17,피현샘,가온국 명주시 샛별구 해원로 222,1562,8987000,256210383000,28509,0.05
G0047,누리중공업,S04,GX-MAIN,1989-05-09,선우리샘,가온국 해솔시 윤슬구 길벗로 145,8767,44425000,383254475000,8627,2.54
G0048,가온이앤씨,S06,GX-MAIN,20140227,삼온오,가온국 한빛광역시 마루구 보람로 50,18677,16949000,2458689736000,145064,-0.78
G0049,슬기금융지주,S01,GX-MAIN,2014-02-16,동방리우,가온국 태산시 라온구 너울길 179,,72596000,4685491032000,64542,-1.14
G0050,미소소프트,S08,GX-GROWTH,2009-03-12,제갈태결,가온국 새벽시 라온구 길벗로 294,5111,7658000,197630006000,25807,1.87
G0051,해솔  리테일,S05,GX-MAIN,2003.03.27,빈온율,가온국 청람광역시 라온구 청람로 141,3913,11308000,690330784000,61048,-0.15
G0052,너울정밀,S02,GX-MAIN,20070606,옥슬담,가온국 청람광역시 샛별구 해원로 186,43207,42903000,3647055321000,85007,1.71
G0053,너울리테일,S05,GX-MAIN,2000-07-27,제갈온건,가온국 가온특별시 마루구 보람로 132,10597,15360000,589532160000,38381,1.85
G0054,가온은행,S01,GX-MAIN,1993.11.13,서문주우,가온국 백두시 윤슬구 청람로 16,5373,16939000,625692782000,36938,-0.58
G0055,아람모빌리티,S04,GX-GROWTH,20201018,어다나,가온국 명주시 윤슬구 아띠대로 19,5623,8416000,257798912000,30632,
G0056,대  륙푸드,S10,GX-GROWTH,20200410,봉가재,가온국 한빛광역시 도담구 보람로 150,17629,23208000,428048352000,18444,2.73
G0057,다솜반도체,S02,gx-main,2009-11-20,제갈세한,가온국 들녘시 늘품구 해원로 44,25028,19345000,249163600000,12880,-1.18
G0058,명주데이터,S08,GX-MAIN,2008-05-19,황보나온,가온국 명주시 한터구 청람로 17,24791,34319000,483280158000,14082,1.9
G0059,한들반도체,S02,GX-GROWTH,2005-10-17,어온결,가온국 청람광역시 다솜구 길벗로 28,1507,7444000,228523356000,30699,2.77
G0060,해솔소재,S03,GX-MAIN,2002-04-24,동방건늘,가온국 백두시 한터구 수피아길 149,36421,63466000,3063440354000,48269,0.3
G0060,해솔소재,S03,GX-MAIN,2002-04-24,동방건늘,가온국 백두시 한터구 수피아길 149,36421,63466000,3063440354000,48269,0.3
G0061,태산정밀화학,S03,GX-GROWTH,20181017,남궁루건,가온국 청람광역시 마루구 너울길 103,7200,8145000,118135080000,14504,-0.19
G0062,태산헬스케어,S07,GX-MAIN,1995-02-21,사공아슬,가온국 백두시 두레구 너울길 82,27785,22497000,101528961000,4513,3.96
G0063,푸른이앤씨,S06,GX-GROWTH,2015-04-16,어윤율,가온국 명주시 두레구 청람로 141,10014,15755000,171067790000,,-1.26
G0064,미소생명과학,S07,GX-MAIN,1993-02-28,서문보결,가온국 해솔시 라온구 너울길 237,33718,32999000,621404169000,18831,3.08
G0065,가온정밀,S02,GX-GROWTH,2017-03-19,황보주나,가온국 가온특별시 벼리구 청람로 222,15154,13299000,141128988000,10612,1.74
G0066,청람이앤씨,S06,GX-MAIN,2005-11-24,반루오,가온국 새벽시 벼리구 아띠대로 70,32203,50038000,403206204000,8058,-2.42
G0067,수피아기공,S04,GX-MAIN,1991-02-13,뇌리람,가온국 명주시 벼리구 청람로 51,25804,67784000,5470778856000,80709,-0.1
G0068, 대륙전자 ,S02,GX-GROWTH,2005-03-13,선우해늘,가온국 해솔시 마루구 수피아길 22,3787,5642000,66282216000,11748,5.35
G0069,한빛헬스케어,,GX-MAIN,2012-02-12,피다민,가온국 태산시 마루구 아띠대로 2,29368,34519000,6882467258000,199382,1.24
G0069,한빛헬스케어,,GX-MAIN,2012-02-12,피다민,가온국 태산시 마루구 아띠대로 2,29368,34519000,6882467258000,199382,1.24
G0070,대륙조선,S04,GX-MAIN,1999-04-27,옥초람,가온국 들녘시 라온구 해원로 300,3755,17778000,1256353482000,70669,-0.74
G0071,자강디스플레이,S02,GX-GROWTH,2006-01-25,반초담,가온국 들녘시 벼리구 길벗로 43,12127,15673000,48523608000,3096,-0.23
G0072,윤슬정밀,S02,GX-GROWTH,2020-10-24,음슬우,가온국 태산시 샛별구 초아로 35,7635,6071000,30682834000,,3.65
G0073,길벗디스플레이,S02,GX-MAIN,1994.05.23,선우리온,가온국 태산시 한터구 수피아길 146,,40302000,1731776940000,42970,0.93
G0074,이  레메디컬,S07,GX-MAIN,1996-08-18,사공유율,가온국 백두시 라온구 가온대로 318,16354,14586000,257909652000,17682,0.22
G0075,윤슬정밀화학,S03,GX-MAIN,2001-07-13,제갈현건,가온국 새벽시 한터구 너울길 173,8464,17679000,1722836229000,97451,0.24
G0076,보람소재,S03,GX-GROWTH,2011-01-05,서문주슬,가온국 들녘시 다솜구 해원로 218,31289,36075000,685605375000,19005,1.54
G0077,하람증권,S01,GX-GROWTH,2005-02-27,뇌다율,가온국 들녘시 늘품구 초아로 316,,50100000,582412500000,11625,-1.37
G0078,단비네트웍스,,GX-MAIN,1996-09-10,독고세결,가온국 온누리특별자치시 늘품구 해원로 133,18984,13260000,109845840000,8284,2.74
G0079,샛별중공업,S04,GX-GROWTH,20170712,뇌아온,가온국 새벽시 마루구 해원로 96,48050,65338000,1686569794000,25813,2.6
G0080,두레화재해상,S01,GX-GROWTH,2015-05-06,옥윤율,가온국 들녘시 윤슬구 한빛로 107,1639,5195000,56313800000,10840,-0.18
G0081,보람유통,S05,gx-main,2008-09-13,빈루담,가온국 들녘시 샛별구 한빛로 182,118849,89846000,1177431830000,13105,-0.3
G0082,세림엔지니어링,S06,GX-GROWTH,2006-07-05,서문세민,가온국 온누리특별자치시 두레구 한빛로 69,16371,30431000,551653168000,18128,0.16
G0083,차오름자산운용,S01,GX-MAIN,2010-03-14,사공벼율,가온국 한빛광역시 다솜구 초아로 148,41422,28097000,2876093211000,102363,0.06
G0084,들녘엔지니어링,S06,GX-GROWTH,20150206,제갈나우,가온국 백두시 한터구 초아로 279,11271,7352000,88282816000,12008,-2.09
G0085,들녘건설,S06,GX-MAIN,1992-08-02,선우건늘,가온국 새벽시 샛별구 수피아길 226,12196,47009000,555505353000,11817,
G0086, 청우반도체 ,S02,GX-MAIN,2012-12-01,,가온국 해솔시 윤슬구 초아로 160,131436,115077000,4436563581000,38553,0.9
G0087,청우생명과학,S07,GX-MAIN,2002-02-23,표윤오,가온국 해솔시 도담구 수피아길 155,38533,45409000,908407045000,20005,0.85
G0088,푸른캐피탈,S01,GX-MAIN,20070611,선우주우,가온국 태산시 라온구 보람로 74,39639,96961000,3295995273000,33993,0.06
G0089,차오름정밀,,GX-GROWTH,2018-04-01,삼단결,가온국 청람광역시 샛별구 너울길 253,9215,7024000,64627824000,9201,1.68
G0090,초아항공,S04,GX-GROWTH,2008-03-03,설건늘,가온국 백두시 다솜구 해원로 46,24394,42347000,696057639000,,0.6
G0091,도담푸드,,GX-GROWTH,2005.04.07,옥유찬,가온국 명주시 두레구 보람로 116,1488,5078000,2336875288000,460196,1.01
G0092,온새미화학,S03,GX-MAIN,20040403,제갈해한,가온국 들녘시 도담구 해원로 230,N/A,44839000,883911207000,19713,-0.71
G0093,누리정밀,S02,GX-MAIN,2010-03-13,선우해민,가온국 청람광역시 벼리구 아띠대로 212,83125,52973000,299615288000,5656,1.25
G0094,아띠엔지니어링,S06,GX-GROWTH,2018-05-27,음태나,가온국 해솔시 라온구 한빛로 320,4983,14916000,60708120000,4070,-0.61
G0095,대륙이앤피,S09,GX-GROWTH,2020-01-20,남궁해샘,가온국 청람광역시 한터구 가온대로 103,22653,18691000,777526909000,41599,3.23
G0096,길벗이앤피,S09,GX-GROWTH,2020.12.18,남궁벼오,가온국 온누리특별자치시 도담구 보람로 105,13034,9322000,32692254000,3507,2.39
G0097,마루가스,S09,GX-GROWTH,2007-06-10,빈해늘,가온국 청람광역시 벼리구 초아로 4,5629,5876000,74008220000,12595,4.53
G0098,새벽시스템즈,S08,GX-MAIN,2004-09-05,삼벼샘,가온국 들녘시 라온구 수피아길 46,47133,50170000,1465265020000,,-2.84
G0099,보람홈쇼핑,S05,GX-MAIN,20070101,탁해온,가온국 백두시 벼리구 수피아길 121,30680,19413000,4845678930000,249610,-0.32
G0100,누리메디　컬,,GX-MAIN,1997-03-15,사공해슬,가온국 명주시 늘품구 청람로 119,229680,189149000,9285324410000,49090,
G0101,아띠푸드,S10,GX-MAIN,2013-10-28,제갈현오,가온국 온누리특별자치시 윤슬구 가온대로 222,19259,40093000,321986883000,8031,1.52
G0102,벼리마트,S05,GX-GROWTH,20101018,탁루슬,가온국 한빛광역시 샛별구 초아로 29,20962,33193000,156504995000,4715,-1.15
G0103,해원기공,S04,GX-MAIN,2003-02-23,피다샘,가온국 온누리특별자치시 도담구 수피아길 105,61699,"47,740,000",653703820000,,1.93
G0104,길벗건설,S06,GX-MAIN,2001-08-01,남궁단샘,가온국 백두시 윤슬구 보람로 200,35479,54748000,493881708000,9021,1.7
G0105,청람저축은행,S01,gx-growth,2010-11-23,사공해오,가온국 백두시 샛별구 가온대로 242,5198,9689000,535259116000,55244,2.47
G0106,해솔오토,S04,GX-MAIN,2007-08-04,음건담,가온국 들녘시 샛별구 보람로 39,32279,31577000,1108321123000,35099,0.33
G0107, 백두유업 ,,GX-GROWTH,2011-11-19,제갈다람,가온국 청람광역시 벼리구 한빛로 265,33914,24038000,752653818000,31311,3.28
G0108,청람전력,S09,GX-GROWTH,2013-10-16,표아온,가온국 태산시 늘품구 아띠대로 151,6201,7850000,153106400000,,6.34
G0109,미소저축은행,S01,GX-MAIN,2009-02-09,표단린,가온국 청람광역시 두레구 수피아길 77,78179,97779000,1608855666000,16454,1.37
G0110,다솜은행,S01,GX-MAIN,1996.11.27,사공다민,가온국 태산시 샛별구 초아로 316,103370,129164000,6208009332000,48063,4.16
G0111,태산이앤피,S09,GX-GROWTH,2007-12-06,음리호,가온국 새벽시 벼리구 너울길 260,32828,32506000,101776286000,3131,2.12
G0112,미소화학,S03,GX-MAIN,2000-05-10,독고가린,가온국 명주시 라온구 아띠대로 190,193990,135699000,9463512561000,69739,0.2
G0113,해솔기공,S04,GX-GROWTH,2017-02-08,빈보오,가온국 온누리특별자치시 도담구 길벗로 23,25378,19527000,857176719000,43897,0.96
G0114,두레홈쇼핑,S05,Gx-main,2015-01-01,뇌슬건,가온국 해솔시 벼리구 너울길 243,,39870000,2252694870000,56501,1.83
G0115,누리소재,S03,GX-GROWTH,2020-10-02,어주슬,가온국 청람광역시 두레구 초아로 319,5941,7751000,56931095000,7345,-0.2
G0116,푸른커머스,S05,GX-MAIN,2002-08-25,,가온국 온누리특별자치시 다솜구 아띠대로 171,24938,15625000,3357906250000,214906,3.83
G0117,샛별건  설,S06,GX-MAIN,2003-06-28,빈온샘,가온국 새벽시 라온구 초아로 202,11115,34805000,867027355000,24911,0.7
G0118,명주네트웍스,S08,GX-GROWTH,2015-12-13,동방슬우,가온국 가온특별시 벼리구 가온대로 304,11273,13250000,96658750000,7295,2.24
G0119,코드메디컬,S07,GX-MAIN,2009-07-23,남궁유람,가온국 명주시 도담구 초아로 129,15404,11252000,88204428000,7839,-0.25
G0120, 한빛생명과학 ,S07,GX-MAIN,1988-12-02,서문초나,가온국 명주시 한터구 보람로 187,188586,179619000,923421279000,5141,3.54
