code,name,sectorCode,sectorName,market,listedDate,ceo,address,employeeCount,listedShares,marketCap
G0035,자강소프트,S08,IT서비스,GX-GROWTH,2023-11-14,빈태재,가온국 태산시 늘품구 한빛로 215,21264,14758000,329531382000
G0036,아람케미칼,S03,화학,GX-MAIN,2012-05-15,반루늘,가온국 청람광역시 윤슬구 가온대로 113,238665,225139000,10036921759000
G0037,넥스트전력,S09,에너지,GX-MAIN,1992-12-11,반리한,가온국 온누리특별자치시 벼리구 초아로 55,293941,300989000,1592231810000
G0038,한들메디컬,S07,바이오,GX-MAIN,1991-05-18,반루오,가온국 온누리특별자치시 한터구 해원로 48,25990,29201000,1039263590000
G0039,세림반도체,S02,전기전자,GX-MAIN,2004-10-18,남궁슬람,가온국 백두시 윤슬구 해원로 125,27899,45553000,627583681000
G0040,한들금융지주,S01,금융,GX-MAIN,2012-09-13,선우유람,가온국 청람광역시 벼리구 해원로 246,38699,37661000,299894543000
G0041,해솔화재해상,S01,금융,GX-GROWTH,2020-02-07,봉유린,가온국 새벽시 윤슬구 수피아길 144,4926,5810000,61336170000
G0042,해원시스템즈,S08,IT서비스,GX-MAIN,1993-11-19,견벼겸,가온국 새벽시 샛별구 길벗로 230,26512,41175000,4581583425000
G0043,누리카드,S01,금융,GX-MAIN,1992-12-24,옥유람,가온국 태산시 샛별구 너울길 311,6698,18135000,205886655000
G0044,청우소재,S03,화학,GX-MAIN,2013-03-12,서문보별,가온국 가온특별시 다솜구 길벗로 193,30590,42025000,1804049200000
G0045,명주디스플레이,S02,전기전자,GX-MAIN,2006-04-02,황보아우,가온국 명주시 다솜구 길벗로 9,25424,39760000,8673007840000
G0046,넥스트데이터,S08,IT서비스,GX-GROWTH,2022-12-17,피현샘,가온국 명주시 샛별구 해원로 222,1562,8987000,256210383000
G0047,누리중공업,S04,운수장비,GX-MAIN,1989-05-09,선우리샘,가온국 해솔시 윤슬구 길벗로 145,8767,44425000,383254475000
G0048,가온이앤씨,S06,건설,GX-MAIN,2014-02-27,삼온오,가온국 한빛광역시 마루구 보람로 50,18677,16949000,2458689736000
G0049,슬기금융지주,S01,금융,GX-MAIN,2014-02-16,동방리우,가온국 태산시 라온구 너울길 179,22346,72596000,4685491032000
G0050,미소소프트,S08,IT서비스,GX-GROWTH,2009-03-12,제갈태결,가온국 새벽시 라온구 길벗로 294,5111,7658000,197630006000
G0051,해솔리테일,S05,유통,GX-MAIN,2003-03-27,빈온율,가온국 청람광역시 라온구 청람로 141,3913,11308000,690330784000
G0052,너울정밀,S02,전기전자,GX-MAIN,2007-06-06,옥슬담,가온국 청람광역시 샛별구 해원로 186,43207,42903000,3647055321000
G0053,너울리테일,S05,유통,GX-MAIN,2000-07-27,제갈온건,가온국 가온특별시 마루구 보람로 132,10597,15360000,589532160000
G0054,가온은행,S01,금융,GX-MAIN,1993-11-13,서문주우,가온국 백두시 윤슬구 청람로 16,5373,16939000,625692782000
G0055,아람모빌리티,S04,운수장비,GX-GROWTH,2020-10-18,어다나,가온국 명주시 윤슬구 아띠대로 19,5623,8416000,257798912000
G0056,대륙푸드,S10,식품,GX-GROWTH,2020-04-10,봉가재,가온국 한빛광역시 도담구 보람로 150,17629,23208000,428048352000
G0057,다솜반도체,S02,전기전자,GX-MAIN,2009-11-20,제갈세한,가온국 들녘시 늘품구 해원로 44,25028,19345000,249163600000
G0058,명주데이터,S08,IT서비스,GX-MAIN,2008-05-19,황보나온,가온국 명주시 한터구 청람로 17,24791,34319000,483280158000
G0059,한들반도체,S02,전기전자,GX-GROWTH,2005-10-17,어온결,가온국 청람광역시 다솜구 길벗로 28,1507,7444000,228523356000
G0060,해솔소재,S03,화학,GX-MAIN,2002-04-24,동방건늘,가온국 백두시 한터구 수피아길 149,36421,63466000,3063440354000
G0061,태산정밀화학,S03,화학,GX-GROWTH,2018-10-17,남궁루건,가온국 청람광역시 마루구 너울길 103,7200,8145000,118135080000
G0062,태산헬스케어,S07,바이오,GX-MAIN,1995-02-21,사공아슬,가온국 백두시 두레구 너울길 82,27785,22497000,101528961000
G0063,푸른이앤씨,S06,건설,GX-GROWTH,2015-04-16,어윤율,가온국 명주시 두레구 청람로 141,10014,15755000,171067790000
G0064,미소생명과학,S07,바이오,GX-MAIN,1993-02-28,서문보결,가온국 해솔시 라온구 너울길 237,33718,32999000,621404169000
G0065,가온정밀,S02,전기전자,GX-GROWTH,2017-03-19,황보주나,가온국 가온특별시 벼리구 청람로 222,15154,13299000,141128988000
G0066,청람이앤씨,S06,건설,GX-MAIN,2005-11-24,반루오,가온국 새벽시 벼리구 아띠대로 70,32203,50038000,403206204000
G0067,수피아기공,S04,운수장비,GX-MAIN,1991-02-13,뇌리람,가온국 명주시 벼리구 청람로 51,25804,67784000,5470778856000
G0068,대륙전자,S02,전기전자,GX-GROWTH,2005-03-13,선우해늘,가온국 해솔시 마루구 수피아길 22,3787,5642000,66282216000
G0069,한빛헬스케어,S07,바이오,GX-MAIN,2012-02-12,피다민,가온국 태산시 마루구 아띠대로 2,29368,34519000,6882467258000
G0070,대륙조선,S04,운수장비,GX-MAIN,1999-04-27,옥초람,가온국 들녘시 라온구 해원로 300,3755,17778000,1256353482000
G0071,자강디스플레이,S02,전기전자,GX-GROWTH,2006-01-25,반초담,가온국 들녘시 벼리구 길벗로 43,12127,15673000,48523608000
G0072,윤슬정밀,S02,전기전자,GX-GROWTH,2020-10-24,음슬우,가온국 태산시 샛별구 초아로 35,7635,6071000,30682834000
G0073,길벗디스플레이,S02,전기전자,GX-MAIN,1994-05-23,선우리온,가온국 태산시 한터구 수피아길 146,17068,40302000,1731776940000
G0074,이레메디컬,S07,바이오,GX-MAIN,1996-08-18,사공유율,가온국 백두시 라온구 가온대로 318,16354,14586000,257909652000
G0075,윤슬정밀화학,S03,화학,GX-MAIN,2001-07-13,제갈현건,가온국 새벽시 한터구 너울길 173,8464,17679000,1722836229000
G0076,보람소재,S03,화학,GX-GROWTH,2011-01-05,서문주슬,가온국 들녘시 다솜구 해원로 218,31289,36075000,685605375000
G0077,하람증권,S01,금융,GX-GROWTH,2005-02-27,뇌다율,가온국 들녘시 늘품구 초아로 316,12813,50100000,582412500000
G0078,단비네트웍스,S08,IT서비스,GX-MAIN,1996-09-10,독고세결,가온국 온누리특별자치시 늘품구 해원로 133,18984,13260000,109845840000
G0079,샛별중공업,S04,운수장비,GX-GROWTH,2017-07-12,뇌아온,가온국 새벽시 마루구 해원로 96,48050,65338000,1686569794000
G0080,두레화재해상,S01,금융,GX-GROWTH,2015-05-06,옥윤율,가온국 들녘시 윤슬구 한빛로 107,1639,5195000,56313800000
G0081,보람유통,S05,유통,GX-MAIN,2008-09-13,빈루담,가온국 들녘시 샛별구 한빛로 182,118849,89846000,1177431830000
G0082,세림엔지니어링,S06,건설,GX-GROWTH,2006-07-05,서문세민,가온국 온누리특별자치시 두레구 한빛로 69,16371,30431000,551653168000
G0083,차오름자산운용,S01,금융,GX-MAIN,2010-03-14,사공벼율,가온국 한빛광역시 다솜구 초아로 148,41422,28097000,2876093211000
G0084,들녘엔지니어링,S06,건설,GX-GROWTH,2015-02-06,제갈나우,가온국 백두시 한터구 초아로 279,11271,7352000,88282816000
G0085,들녘건설,S06,건설,GX-MAIN,1992-08-02,선우건늘,가온국 새벽시 샛별구 수피아길 226,12196,47009000,555505353000
G0086,청우반도체,S02,전기전자,GX-MAIN,2012-12-01,서문태담,가온국 해솔시 윤슬구 초아로 160,131436,115077000,4436563581000
G0087,청우생명과학,S07,바이오,GX-MAIN,2002-02-23,표윤오,가온국 해솔시 도담구 수피아길 155,38533,45409000,908407045000
G0088,푸른캐피탈,S01,금융,GX-MAIN,2007-06-11,선우주우,가온국 태산시 라온구 보람로 74,39639,96961000,3295995273000
G0089,차오름정밀,S02,전기전자,GX-GROWTH,2018-04-01,삼단결,가온국 청람광역시 샛별구 너울길 253,9215,7024000,64627824000
G0090,초아항공,S04,운수장비,GX-GROWTH,2008-03-03,설건늘,가온국 백두시 다솜구 해원로 46,24394,42347000,696057639000
G0091,도담푸드,S10,식품,GX-GROWTH,2005-04-07,옥유찬,가온국 명주시 두레구 보람로 116,1488,5078000,2336875288000
G0092,온새미화학,S03,화학,GX-MAIN,2004-04-03,제갈해한,가온국 들녘시 도담구 해원로 230,26824,44839000,883911207000
G0093,누리정밀,S02,전기전자,GX-MAIN,2010-03-13,선우해민,가온국 청람광역시 벼리구 아띠대로 212,83125,52973000,299615288000
G0094,아띠엔지니어링,S06,건설,GX-GROWTH,2018-05-27,음태나,가온국 해솔시 라온구 한빛로 320,4983,14916000,60708120000
G0095,대륙이앤피,S09,에너지,GX-GROWTH,2020-01-20,남궁해샘,가온국 청람광역시 한터구 가온대로 103,22653,18691000,777526909000
G0096,길벗이앤피,S09,에너지,GX-GROWTH,2020-12-18,남궁벼오,가온국 온누리특별자치시 도담구 보람로 105,13034,9322000,32692254000
G0097,마루가스,S09,에너지,GX-GROWTH,2007-06-10,빈해늘,가온국 청람광역시 벼리구 초아로 4,5629,5876000,74008220000
G0098,새벽시스템즈,S08,IT서비스,GX-MAIN,2004-09-05,삼벼샘,가온국 들녘시 라온구 수피아길 46,47133,50170000,1465265020000
G0099,보람홈쇼핑,S05,유통,GX-MAIN,2007-01-01,탁해온,가온국 백두시 벼리구 수피아길 121,30680,19413000,4845678930000
G0100,누리메디컬,S07,바이오,GX-MAIN,1997-03-15,사공해슬,가온국 명주시 늘품구 청람로 119,229680,189149000,9285324410000
G0101,아띠푸드,S10,식품,GX-MAIN,2013-10-28,제갈현오,가온국 온누리특별자치시 윤슬구 가온대로 222,19259,40093000,321986883000
G0102,벼리마트,S05,유통,GX-GROWTH,2010-10-18,탁루슬,가온국 한빛광역시 샛별구 초아로 29,20962,33193000,156504995000
G0103,해원기공,S04,운수장비,GX-MAIN,2003-02-23,피다샘,가온국 온누리특별자치시 도담구 수피아길 105,61699,47740000,653703820000
G0104,길벗건설,S06,건설,GX-MAIN,2001-08-01,남궁단샘,가온국 백두시 윤슬구 보람로 200,35479,54748000,493881708000
G0105,청람저축은행,S01,금융,GX-GROWTH,2010-11-23,사공해오,가온국 백두시 샛별구 가온대로 242,5198,9689000,535259116000
G0106,해솔오토,S04,운수장비,GX-MAIN,2007-08-04,음건담,가온국 들녘시 샛별구 보람로 39,32279,31577000,1108321123000
G0107,백두유업,S10,식품,GX-GROWTH,2011-11-19,제갈다람,가온국 청람광역시 벼리구 한빛로 265,33914,24038000,752653818000
G0108,청람전력,S09,에너지,GX-GROWTH,2013-10-16,표아온,가온국 태산시 늘품구 아띠대로 151,6201,7850000,153106400000
G0109,미소저축은행,S01,금융,GX-MAIN,2009-02-09,표단린,가온국 청람광역시 두레구 수피아길 77,78179,97779000,1608855666000
G0110,다솜은행,S01,금융,GX-MAIN,1996-11-27,사공다민,가온국 태산시 샛별구 초아로 316,103370,129164000,6208009332000
G0111,태산이앤피,S09,에너지,GX-GROWTH,2007-12-06,음리호,가온국 새벽시 벼리구 너울길 260,32828,32506000,101776286000
G0112,미소화학,S03,화학,GX-MAIN,2000-05-10,독고가린,가온국 명주시 라온구 아띠대로 190,193990,135699000,9463512561000
G0113,해솔기공,S04,운수장비,GX-GROWTH,2017-02-08,빈보오,가온국 온누리특별자치시 도담구 길벗로 23,25378,19527000,857176719000
G0114,두레홈쇼핑,S05,유통,GX-MAIN,2015-01-01,뇌슬건,가온국 해솔시 벼리구 너울길 243,43128,39870000,2252694870000
G0115,누리소재,S03,화학,GX-GROWTH,2020-10-02,어주슬,가온국 청람광역시 두레구 초아로 319,5941,7751000,56931095000
G0116,푸른커머스,S05,유통,GX-MAIN,2002-08-25,제갈윤한,가온국 온누리특별자치시 다솜구 아띠대로 171,24938,15625000,3357906250000
G0117,샛별건설,S06,건설,GX-MAIN,2003-06-28,빈온샘,가온국 새벽시 라온구 초아로 202,11115,34805000,867027355000
G0118,명주네트웍스,S08,IT서비스,GX-GROWTH,2015-12-13,동방슬우,가온국 가온특별시 벼리구 가온대로 304,11273,13250000,96658750000
G0119,코드메디컬,S07,바이오,GX-MAIN,2009-07-23,남궁유람,가온국 명주시 도담구 초아로 129,15404,11252000,88204428000
G0120,한빛생명과학,S07,바이오,GX-MAIN,1988-12-02,서문초나,가온국 명주시 한터구 보람로 187,188586,179619000,923421279000
